uuid,name,description
8db0bc25-f767-4264-bd20-321a73616ce6,Bad Hombres Against Fake News Pack 1,https://www.amazon.com/Hombres-Against-Unofficial-Expansion-Humanity/dp/B06XDVMN5T/

uuid,edition,version,description,author,releaseDate,column
19930deb-c6cb-404d-8de1-aef3205c8c90,,v1.0,,,0,0

uuid,suite,text,draw,pick,19930deb-c6cb-404d-8de1-aef3205c8c90
e8a25894-044b-4aa6-af88-a2479323799c,Prompt,A Bad Hombres' celebration always include ______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
3336275c-9469-4594-a170-b020ed096eb8,Prompt,A day in the life of a Bad Hombre has plenty of _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
01b8a90c-d6d2-449e-b472-6bd888bb67a6,Prompt,A good solution for the Bad Hombres dilemma would be _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
a1943dbc-ea11-46c8-9783-1e7081ae37b3,Prompt,A trip to Mexico can make you so happy because of ______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
dbd62387-6ab1-424c-995d-bd01dbd968cb,Prompt,Bad Hombres actually enjoy _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
665853a2-b084-4945-af00-cf91886312d7,Prompt,Bad Hombres' biggest weakness is _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
3b02ed63-8ae0-4e58-9627-0703a3926de4,Prompt,How will Mexico pay for the wall?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
9d711caf-c471-4807-bf3b-2c8609a0180e,Prompt,Mexico and U.S. will reunite once they get rid of _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
c37913e9-f662-4c10-afb0-e050377430f0,Prompt,Telemundo will make a fortune with a reality show about _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
e24bbc96-cc49-4f54-90d2-0d8725643713,Prompt,The best part of losing my virginity in Mexico was _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
44f1da84-d148-400a-9fd9-eb98552d6418,Prompt,The real hobby of El Chapo is _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
1dd78e18-40de-44a0-a200-e2f54e1d2098,Prompt,The real reason that Bad Hombres should be kicked out of the U.S. is ________.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
d8d4bdc6-326d-4a4c-91e0-6225d5a751d2,Prompt,Trump's Spanish pronunciation provokes _______.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
289c328e-f4f2-4908-ad67-c4e1628051ed,Prompt,What are Bad Hombres full of?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
ef76f245-04fd-492c-bed8-034cffa8154e,Prompt,What are Bad Hombres proud of?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
ce70e1c3-9df2-46e5-aba7-72588e0bb4f6,Prompt,What do Bad Hombres' real housewives like?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
941d55b3-ff76-4fe5-8271-a7b537b797fa,Prompt,What gets Bad Hombres horny?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
7b9ddf8a-4f75-4a2c-8163-642b224087c0,Prompt,What is a Bad Hombre afraid of?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
295644cd-c84f-49e6-bb18-74929923bcc4,Prompt,What is always in the mind of a Bad Hombre?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
2a28fbc5-4299-45c8-9a64-ae314a1dea80,Prompt,What is the biggest problem with Bad Hombres crossing the border?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
c5379fff-b174-4f7f-b17c-90dbac0c5e80,Prompt,What is the reason to protect the Bad Hombres?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
395cdc2e-e1d8-4025-8267-9d35cbaf95dd,Prompt,What is Trump's worst nightmare?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
ceae0199-60f2-46ac-b32c-f1e8f74856bb,Prompt,What makes Bad Hombres laugh hysterically?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
f9d43540-ea69-48fd-88f9-9fcc3b8b6607,Prompt,What would not be fake news?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
6a532e0e-95a3-4c0a-a098-8e181d10c106,Prompt,What's a Bad Hombre best friend?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
aeae28a6-2be0-46f7-8a6b-18be3a7c642c,Prompt,What's trending among Bad Hombres?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
ac8041a0-f6c7-4a4e-bdcb-ff18259f12dc,Prompt,Why am I loving my Bad Hombre?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
08d4c9bf-9253-4e17-af7b-18c93d3b3645,Prompt,Why do some Americans like the wall?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
64f9f2f1-9958-4608-a6d7-d60b04088f40,Prompt,Why hasn't my friend crossed the border?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
c5a03165-91fd-45b3-9b9f-7c71c37035b4,Prompt,Why is Donald Trump obsessed with the wall?,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
d21b59c0-eb06-4b23-b452-50354a321597,Response,"$20,000 trip from Honduras to Texas hiding in the back of the troka.",0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
3e6c1043-90bc-4292-8699-107b4ffb3a11,Response,5 de Mayo celebrations.,0,0,19930deb-c6cb-404d-8de1-aef3205c8c90
